"Timestamp","How many cigarette packs they were buying?","Did they buy the Marlboro Cigarettes?","Did you tell them about the Discount?","Did they know about discount before you told them?","Did they buy two Marlboro Cigarettes' after you tell them about the offer?","Were they new customer?","How many Marlboro Cigarettes' they bought in total? ","Comments"
"2021/03/10 2:57:37 PM AST","1","No","","","","","","Moderate "
"2021/03/10 3:03:10 PM AST","1","No","","","","","","Regular "
"2021/03/10 3:19:34 PM AST","1","Yes","Yes","","Yes","Yes","2","Regular "
"2021/03/10 3:43:27 PM AST","1","No","","","","","","New, Happy "
"2021/03/10 3:49:53 PM AST","1","No","","","","","","Grateful "
"2021/03/10 4:15:27 PM AST","1","No","","","","","","Regular "
"2021/03/10 4:24:34 PM AST","1","No","","","","","","Regular, happy "
"2021/03/10 4:42:52 PM AST","3","Yes","Yes","","Yes","No","3","Regular "
"2021/03/10 4:43:39 PM AST","1","Yes","Yes","","No","Yes","1","New, not enough money "
"2021/03/10 4:44:39 PM AST","1","No","","","","","","New, regular "
"2021/03/10 4:44:47 PM AST","1","No","","","","","","Regular "
"2021/03/10 4:54:26 PM AST","1","Yes","Yes","","Yes","Yes","2","Regular, neutral "
"2021/03/10 5:14:24 PM AST","1","Yes","Yes","","No","No","1","Just one, neutral "
"2021/03/10 5:23:51 PM AST","2","Yes","Yes","","No","No","1","Regular "
"2021/03/10 6:27:07 PM AST","1","Yes","Yes","","No","No","1","Not interested, "
"2021/03/10 6:44:18 PM AST","1","No","","","","","","Regular "
"2021/03/10 6:52:54 PM AST","2","Yes","Yes","","Yes","No","2","New, happy "
"2021/03/10 6:53:35 PM AST","1","Yes","Yes","","Yes","Yes","2","New, "
"2021/03/10 6:55:44 PM AST","1","Yes","Yes","","Yes","Yes","2","Happy "
"2021/03/10 6:57:04 PM AST","2","No","","","","","","Sad, "
"2021/03/10 7:01:04 PM AST","1","Yes","Yes","","Yes","Yes","2","Happy, interested, cost less"
"2021/03/10 7:42:52 PM AST","1","No","","","","","","Neutral "
"2021/03/10 8:05:33 PM AST","1","No","","","","","","Regular "
"2021/03/10 8:05:55 PM AST","1","No","","","","","","Not interested, quick "
"2021/03/10 8:19:30 PM AST","2","Yes","Yes","","Yes","No","2","Regular "
"2021/03/10 8:19:37 PM AST","2","No","","","","","","Regular "
"2021/03/10 8:26:03 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy, less money "
"2021/03/10 8:33:10 PM AST","1","Yes","Yes","No","No","Yes","1","Not interested, in hurry"
"2021/03/10 8:55:39 PM AST","1","Yes","Yes","No","No","Yes","1","Not interested "
"2021/03/10 9:49:31 PM AST","1","Yes","Yes","No","No","Yes","1","More I buy, more I smoke"
"2021/03/10 9:53:07 PM AST","1","No","","","","","","Hurry, Neutral "
"2021/03/10 10:35:45 PM AST","1","No","","","","","","Calm, happy "
"2021/03/10 11:36:03 PM AST","1","No","","","","","","Calm, happy "
"2021/03/10 11:37:22 PM AST","1","Yes","Yes","Yes","No","No","1","Not interested, happy "
"2021/03/11 10:29:39 AM AST","1","Yes","Yes","Yes","No","No","1","Not interested, happy "
"2021/03/11 6:09:47 PM AST","1","No","","","","","","Regular "
"2021/03/11 6:33:10 PM AST","2","Yes","Yes","No","Yes","No","2","New, sad, flustered "
"2021/03/11 6:43:55 PM AST","1","No","","","","","","Regular "
"2021/03/11 6:44:09 PM AST","1","No","","","","","","Regular "
"2021/03/11 7:18:45 PM AST","1","No","","","","","","Regular "
"2021/03/11 7:19:12 PM AST","2","Yes","Yes","No","Yes","Yes","2","New"
"2021/03/11 7:31:16 PM AST","1","Yes","Yes","No","No","No","1","Not have money, sad"
"2021/03/11 7:38:08 PM AST","1","No","","","","","","Neutral "
"2021/03/11 7:46:37 PM AST","1","No","","","","","","Happy "
"2021/03/11 7:49:54 PM AST","2","No","","","","","","Neutral "
"2021/03/11 7:50:42 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy, "
"2021/03/11 7:58:20 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy, save money "
"2021/03/11 7:58:33 PM AST","2","No","","","","","","Happy "
"2021/03/11 8:19:23 PM AST","1","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/11 8:19:41 PM AST","1","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/11 8:19:50 PM AST","1","No","","","","","","Neutral "
"2021/03/11 8:37:45 PM AST","1","No","","","","","","Neutral "
"2021/03/11 8:39:17 PM AST","1","No","","","","","","Neutral "
"2021/03/11 8:39:24 PM AST","2","No","","","","","","Neutral "
"2021/03/11 8:39:31 PM AST","1","No","","","","","","Neutral "
"2021/03/11 8:50:37 PM AST","1","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/11 9:50:31 PM AST","1","No","","","","","","Neutral "
"2021/03/11 10:19:08 PM AST","1","No","","","","","","Neutral "
"2021/03/11 10:19:18 PM AST","1","No","","","","","","Happy "
"2021/03/12 4:22:44 PM AST","2","Yes","Yes","No","Yes","Yes","2","Happy, thankful "
"2021/03/12 5:26:15 PM AST","4 and more","Yes","Yes","No","Yes","Yes","4 and more","Cool"
"2021/03/12 5:44:41 PM AST","2","No","","","","","","Regular "
"2021/03/12 6:05:12 PM AST","2","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/12 7:17:42 PM AST","2","No","","","","","","Regular "
"2021/03/12 7:22:21 PM AST","2","Yes","Yes","No","Yes","Yes","2","New, happy "
"2021/03/12 7:22:33 PM AST","1","No","","","","","","Regular, unsatisfied "
"2021/03/12 7:22:53 PM AST","2","Yes","Yes","Yes","Yes","No","2","Regular "
"2021/03/12 7:38:07 PM AST","1","No","","","","","","Regular "
"2021/03/12 7:38:49 PM AST","2","Yes","Yes","Yes","Yes","No","2","Regular "
"2021/03/12 7:39:46 PM AST","1","No","","","","","","Regular "
"2021/03/12 7:40:39 PM AST","1","Yes","No","Yes","Yes","No","2","Regular "
"2021/03/12 7:45:06 PM AST","4 and more","Yes","Yes","No","Yes","No","4 and more","Happy "
"2021/03/12 7:45:16 PM AST","2","No","","","","","","Regular "
"2021/03/12 8:03:44 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/12 8:21:04 PM AST","2","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/12 8:36:33 PM AST","1","Yes","Yes","Yes","Yes","No","2","Regular, happy "
"2021/03/12 8:37:02 PM AST","2","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/12 8:39:41 PM AST","1","No","","","","","","Regular, neutral "
"2021/03/12 9:04:09 PM AST","1","No","","","","","","Regular, neutral "
"2021/03/12 9:05:12 PM AST","1","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/12 9:05:37 PM AST","3","Yes","Yes","No","Yes","Yes","4 and more","Happy, grateful "
"2021/03/12 9:29:10 PM AST","1","No","","","","","","D, impaired runk"
"2021/03/12 9:40:19 PM AST","1","No","","","","","","Happy "
"2021/03/12 9:41:50 PM AST","1","No","","","","","","Neutral "
"2021/03/12 9:43:42 PM AST","2","No","","","","","","Complaining, "
"2021/03/12 9:46:40 PM AST","1","No","","","","","","Cheap, "
"2021/03/12 10:01:05 PM AST","1","No","","","","","","Neutral "
"2021/03/12 10:01:15 PM AST","1","No","","","","","","Good mood "
"2021/03/12 10:09:06 PM AST","1","No","","","","","","Drunk, sleepy "
"2021/03/12 10:48:42 PM AST","1","No","","","","","","Neutral "
"2021/03/12 11:20:37 PM AST","1","No","","","","","","Grateful "
"2021/03/12 11:20:51 PM AST","1","No","","","","","","Appreciated"
"2021/03/13 12:37:50 AM AST","2","Yes","Yes","Yes","Yes","No","2","Neutral "
"2021/03/13 1:09:14 AM AST","2","No","","","","","","Neutral "
"2021/03/13 2:03:53 AM AST","2","No","","","","","","Neutral "
"2021/03/13 2:04:22 AM AST","1","Yes","Yes","No","No","Yes","1","Not interested,  not sure card will work"
"2021/03/13 2:58:23 AM AST","1","No","","","","","","Hurry, picky"
"2021/03/13 2:59:04 AM AST","1","Yes","Yes","No","Yes","Yes","2","My wife will smoke other one for me, happy, sleepy "
"2021/03/13 3:50:45 AM AST","1","No","","","","","","Regular, neutral "
"2021/03/13 5:20:19 AM AST","1","No","","","","","","Cool, thankful "
"2021/03/13 5:57:33 AM AST","1","Yes","Yes","No","Yes","Yes","2","Appreciated, happy "
"2021/03/13 6:41:17 AM AST","1","Yes","Yes","No","Yes","Yes","2","Appreciated, happy "
"2021/03/13 6:41:39 AM AST","1","Yes","Yes","No","Yes","Yes","2","Happy, grateful "
"2021/03/13 7:23:07 AM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/13 7:23:14 AM AST","1","No","","","","","","Neutral "
"2021/03/14 6:42:11 PM AST","1","Yes","Yes","Yes","Yes","No","2","Happy "
"2021/03/14 6:42:21 PM AST","1","No","","","","","","Thankful "
"2021/03/14 7:30:55 PM AST","4 and more","Yes","Yes","No","Yes","Yes","4 and more","Neutral "
"2021/03/14 8:25:41 PM AST","1","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/14 8:25:53 PM AST","1","No","","","","","","Happy "
"2021/03/14 8:34:58 PM AST","1","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/14 9:17:26 PM AST","1","No","","","","","","Neutral "
"2021/03/14 9:28:21 PM AST","1","No","","","","","","Neutral "
"2021/03/14 9:46:33 PM AST","1","Yes","Yes","Yes","Yes","No","2","Happy "
"2021/03/15 10:50:06 AM AST","1","Yes","Yes","Yes","Yes","No","2","Happy "
"2021/03/15 2:59:25 PM AST","1","Yes","Yes","Yes","Yes","No","2","Happy "
"2021/03/15 2:59:53 PM AST","2","Yes","Yes","No","Yes","Yes","2","Mody, confused "
"2021/03/15 3:10:35 PM AST","4 and more","No","","","","","","Thankful "
"2021/03/15 3:48:05 PM AST","1","No","","","","","","Neutral "
"2021/03/15 3:57:34 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy, understanding, take it easy "
"2021/03/15 4:27:46 PM AST","1","No","","","","","","Thankful "
"2021/03/15 4:27:53 PM AST","1","No","","","","","","Neutral "
"2021/03/15 4:34:23 PM AST","4 and more","Yes","Yes","No","Yes","Yes","4 and more","Thankful "
"2021/03/15 4:39:38 PM AST","4 and more","No","","","","","","Neutral "
"2021/03/15 5:35:14 PM AST","1","No","","","","","","Neutral "
"2021/03/15 5:35:38 PM AST","2","Yes","Yes","Yes","Yes","Yes","2","Thankful "
"2021/03/15 5:36:05 PM AST","1","Yes","Yes","Yes","No","Yes","2","Why not, happy "
"2021/03/15 5:50:30 PM AST","1","No","","","","","","Neutral "
"2021/03/15 6:05:01 PM AST","1","No","","","","","","Off to home, happy "
"2021/03/15 6:39:55 PM AST","2","Yes","Yes","Yes","Yes","Yes","2","Happy, thankful "
"2021/03/15 6:40:12 PM AST","2","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/15 6:40:20 PM AST","2","No","","","","","","Happy "
"2021/03/15 6:59:54 PM AST","1","No","","","","","","Neutral "
"2021/03/15 7:00:01 PM AST","3","No","","","","","","Happy "
"2021/03/15 7:21:26 PM AST","2","Yes","Yes","Yes","Yes","No","2","Neutral "
"2021/03/15 7:22:02 PM AST","1","Yes","Yes","No","No","No","1","Low on cash, confused, unhappy "
"2021/03/15 7:42:49 PM AST","1","No","","","","","","Neutral "
"2021/03/15 7:44:17 PM AST","1","Yes","Yes","Yes","Yes","No","2","Happy "
"2021/03/15 7:53:08 PM AST","1","No","","","","","","Neutral "
"2021/03/15 9:00:00 PM AST","1","No","","","","","","Neutral "
"2021/03/15 9:00:15 PM AST","1","No","","","","","","I smoke Newport, happy "
"2021/03/15 9:25:26 PM AST","2","Yes","Yes","Yes","Yes","No","2","Happy, day off tomorrow "
"2021/03/15 9:25:38 PM AST","1","No","","","","","","Happy, caculative"
"2021/03/15 9:57:06 PM AST","1","No","","","","","","Neutral "
"2021/03/15 9:57:13 PM AST","1","No","","","","","","Neutral "
"2021/03/15 9:57:20 PM AST","1","No","","","","","","Happy "
"2021/03/16 1:06:27 PM AST","1","No","","","","","","Happy "
"2021/03/16 4:00:57 PM AST","1","No","","","","","","Happy "
"2021/03/16 5:00:58 PM AST","1","No","","","","","","Neutral "
"2021/03/16 5:01:12 PM AST","1","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/16 5:19:05 PM AST","1","No","","","","","","Happy "
"2021/03/16 5:25:06 PM AST","1","Yes","Yes","No","Yes","Yes","2","Appreciated, happy "
"2021/03/16 6:29:38 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/16 6:30:24 PM AST","1","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/16 6:34:31 PM AST","1","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/16 6:53:27 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy, thankful "
"2021/03/16 6:53:35 PM AST","1","No","","","","","","Neutral "
"2021/03/16 6:53:50 PM AST","4 and more","No","","","","","","Happy, glad "
"2021/03/16 7:33:42 PM AST","1","Yes","Yes","Yes","No","No","1","I just finished the last one, happy "
"2021/03/16 8:01:17 PM AST","1","No","","","","","","Thankful "
"2021/03/16 8:26:24 PM AST","1","Yes","Yes","No","Yes","No","2","Happy "
"2021/03/16 8:40:23 PM AST","1","No","","","","","","Unhappy "
"2021/03/17 3:36:19 PM AST","1","No","","","","","","Unhappy "
"2021/03/17 3:36:34 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/17 4:28:35 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/17 4:28:53 PM AST","3","Yes","Yes","No","Yes","Yes","4 and more","Happy "
"2021/03/17 4:28:59 PM AST","1","No","","","","","","Happy "
"2021/03/17 4:29:28 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/17 4:32:31 PM AST","2","No","","","","","","Appreciated "
"2021/03/17 5:35:14 PM AST","1","No","","","","","","Happy "
"2021/03/17 6:08:26 PM AST","1","No","","","","","","Neutral "
"2021/03/17 6:09:30 PM AST","1","No","","","","","","Neutral "
"2021/03/17 6:16:19 PM AST","2","Yes","Yes","Yes","Yes","No","2","Neutral "
"2021/03/17 6:16:35 PM AST","1","Yes","Yes","No","No","Yes","1","Neutral "
"2021/03/17 6:18:15 PM AST","1","Yes","Yes","No","No","Yes","1","Unhappy "
"2021/03/17 6:18:24 PM AST","1","No","","","","","","Neutral "
"2021/03/17 6:18:41 PM AST","4 and more","Yes","Yes","Yes","Yes","Yes","4 and more","Happy "
"2021/03/17 6:19:58 PM AST","1","No","","","","","","Neutral "
"2021/03/17 6:20:25 PM AST","1","No","","","","","","Neutral "
"2021/03/17 6:33:26 PM AST","2","Yes","No","Yes","Yes","No","2","Neutral "
"2021/03/17 8:12:53 PM AST","1","Yes","Yes","No","No","Yes","1","Happy, "
"2021/03/17 8:19:33 PM AST","2","Yes","Yes","Yes","Yes","No","2","Happy, regular "
"2021/03/17 9:48:53 PM AST","1","No","","","","","","Happy "
"2021/03/17 9:49:14 PM AST","1","Yes","Yes","No","No","Yes","1","Happy "
"2021/03/17 10:33:11 PM AST","1","Yes","Yes","No","No","Yes","1","Happy "
"2021/03/17 10:33:23 PM AST","1","No","","","","","","Calm, "
"2021/03/17 10:33:52 PM AST","1","Yes","No","No","No","Yes","1","Neutral "
"2021/03/17 10:34:21 PM AST","1","Yes","Yes","No","No","Yes","1","Not interested,  neutral "
"2021/03/18 3:25:47 PM AST","1","No","","","","","","Unhappy"
"2021/03/18 4:08:13 PM AST","3","Yes","No","Yes","Yes","No","2","Neutral "
"2021/03/18 4:11:00 PM AST","1","No","","","","","","Happy "
"2021/03/18 5:11:21 PM AST","1","No","","","","","","Happy "
"2021/03/18 5:11:56 PM AST","1","No","","","","","","Neutral "
"2021/03/18 5:46:10 PM AST","2","No","","","","","","Happy "
"2021/03/18 5:52:28 PM AST","1","No","","","","","","Unimpressed "
"2021/03/18 5:53:14 PM AST","1","Yes","Yes","Yes","No","No","1","Neutral "
"2021/03/18 5:53:41 PM AST","1","Yes","No","No","No","Yes","1","Angry "
"2021/03/18 6:07:56 PM AST","1","No","","","","","","Neutral "
"2021/03/18 6:27:11 PM AST","1","No","","","","","","Neutral "
"2021/03/18 6:27:17 PM AST","1","No","","","","","","Happy "
"2021/03/18 6:37:37 PM AST","1","No","","","","","","Neutral "
"2021/03/18 7:01:44 PM AST","1","No","","","","","","Happy, "
"2021/03/18 7:02:38 PM AST","2","No","","","","","","Happy "
"2021/03/18 7:31:38 PM AST","1","Yes","Yes","No","No","Yes","1","Happy "
"2021/03/18 8:23:12 PM AST","1","Yes","Yes","No","No","Yes","1","Happy "
"2021/03/18 8:24:14 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy, "
"2021/03/18 8:50:35 PM AST","1","No","","","","","","Happy "
"2021/03/18 9:13:18 PM AST","3","Yes","Yes","No","Yes","Yes","4 and more","Happy "
"2021/03/18 9:14:24 PM AST","1","Yes","Yes","No","No","Yes","1","Neutral "
"2021/03/18 9:14:30 PM AST","2","No","","","","","","Neutral "
"2021/03/18 9:17:20 PM AST","1","No","","","","","","Neutral "
"2021/03/18 9:31:22 PM AST","1","No","","","","","","Neutral "
"2021/03/18 9:31:39 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/18 9:36:08 PM AST","2","No","","","","","","Happy "
"2021/03/18 9:36:13 PM AST","1","No","","","","","","Neutral "
"2021/03/18 9:55:09 PM AST","1","No","","","","","","Neutral "
"2021/03/18 9:55:15 PM AST","1","No","","","","","","Neutral "
"2021/03/18 9:55:27 PM AST","1","Yes","Yes","No","No","Yes","1","Neutral "
"2021/03/19 5:03:23 AM AST","1","Yes","Yes","No","No","Yes","1","Neutral "
"2021/03/19 5:04:04 AM AST","1","No","","","","","","In hurry,  "
"2021/03/19 5:21:25 AM AST","2","No","","","","","","Neutral "
"2021/03/19 5:58:18 AM AST","2","Yes","Yes","Yes","Yes","No","2","Regular, neutral "
"2021/03/19 6:46:07 AM AST","1","Yes","Yes","Yes","No","No","1","Neutral "
"2021/03/19 7:46:02 AM AST","1","No","","","","","","Neutral "
"2021/03/19 8:01:30 AM AST","1","Yes","Yes","No","No","No","1","I smoke too much "
"2021/03/19 8:04:10 AM AST","1","Yes","Yes","No","No","Yes","1","Happy "
"2021/03/19 8:19:43 AM AST","2","No","","","","","","Happy "
"2021/03/19 8:19:49 AM AST","1","No","","","","","","Happy "
"2021/03/19 8:58:41 AM AST","1","No","","","","","","Happy "
"2021/03/19 9:21:54 AM AST","1","Yes","Yes","No","No","Yes","1","Neutral "
"2021/03/19 9:22:03 AM AST","1","No","","","","","","Neutral "
"2021/03/20 3:41:52 PM AST","1","No","","","","","","Neutral "
"2021/03/20 3:42:03 PM AST","1","No","","","","","","Happy "
"2021/03/20 3:42:10 PM AST","1","No","","","","","","Neutral "
"2021/03/20 3:42:19 PM AST","4 and more","No","","","","","","Neutral "
"2021/03/20 3:42:25 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:01:32 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:01:40 PM AST","1","No","","","","","","Appreciated "
"2021/03/20 5:18:42 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:18:48 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:23:27 PM AST","2","No","","","","","","Neutral "
"2021/03/20 5:29:58 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:30:07 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:50:00 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:50:34 PM AST","4 and more","Yes","Yes","No","Yes","Yes","4 and more","Grumpy,sad,unhappy "
"2021/03/20 6:21:40 PM AST","2","Yes","Yes","Yes","Yes","No","2","Neutral "
"2021/03/20 6:41:28 PM AST","1","No","","","","","","Neutral "
"2021/03/20 6:48:28 PM AST","2","Yes","Yes","Yes","Yes","No","2","Happy "
"2021/03/20 6:51:42 PM AST","1","No","","","","","","Neutral "
"2021/03/20 6:51:57 PM AST","1","Yes","Yes","Yes","No","No","1","Happy "
"2021/03/20 7:22:23 PM AST","2","No","","","","","","Neutral "
"2021/03/20 7:40:55 PM AST","1","No","","","","","","Weird, "
"2021/03/20 8:07:44 PM AST","2","No","","","","","","Happy "
"2021/03/20 8:08:06 PM AST","1","Yes","Yes","Yes","No","No","1","Not my money "
"2021/03/20 8:24:03 PM AST","2","Yes","Yes","Yes","Yes","Yes","2","Happy "
"2021/03/20 8:24:08 PM AST","1","No","","","","","","Neutral "
"2021/03/20 9:01:02 PM AST","1","No","","","","","","Neutral "
"2021/03/20 9:01:16 PM AST","1","No","","","","","","Neutral "
"2021/03/20 9:01:33 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/20 11:18:58 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/20 11:19:04 PM AST","2","No","","","","","","Neutral "
"2021/03/20 11:19:12 PM AST","1","No","","","","","","Neutral "
"2021/03/20 11:37:42 PM AST","1","No","","","","","","Neutral "
"2021/03/20 11:37:55 PM AST","1","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/21 2:01:40 AM AST","1","No","","","","","","Neutral "
"2021/03/21 2:01:47 AM AST","2","No","","","","","","Irritated "
"2021/03/21 2:44:44 AM AST","1","Yes","Yes","Yes","Yes","Yes","2","Happy "